21852,entity:school:379,regex:PhD in Sociology
10266,entity:school:238,regex:MEng in Computer Science and Engineering
18554,entity:school:182,regex:肿瘤生物学
17936,entity:school:155,regex:材料科学与工程
15983,entity:school:446,regex:语言学
9273,entity:school:155,regex:地质科学
17690,entity:school:254,regex:MA in Humanities 
4752,entity:school:439,regex:PhD in Chemical and Biological Engineering
17676,entity:school:194,regex:MS in ementEnterprise Risk Manag
15752,entity:school:260,keyword:PhD
17508,entity:school:295,regex:工商管理硕士
18529,entity:school:182,keyword:MS
15014,entity:school:584,regex:MPhil in Human Evolutionary Studies
14133,entity:school:131,regex:MEd in Collaborative
11163,entity:school:253,keyword:MBA
11868,entity:school:496,regex:建筑科学-建立生态
21111,entity:school:260,regex:工商管理硕士
18975,entity:school:255,regex:化学
12153,entity:school:237,regex:PhD in Behavioral and Community Health Sciences
13952,entity:school:493,keyword:MEng
559,entity:school:194,regex:生物工程创新和设计硕士
2390,entity:school:422,regex:环境科学
21412,entity:school:300,regex:植物育种与植物遗传学硕士
24407,entity:school:474,regex:计算机工程
21384,entity:school:125,regex:PhD in Mathematics
12388,entity:school:547,regex:电影美学硕士
11979,entity:school:496,regex:信息技术博士
15145,entity:school:584,keyword:PhD
15086,entity:school:584,regex:东亚和中东研究博士
5368,entity:school:443,keyword:PhD
1191,entity:school:242,keyword:MS
5667,entity:school:183,keyword:PhD
17710,entity:school:194,regex:卫生政策中的公共卫生
23166,entity:school:448,regex:音乐学硕士
22105,entity:school:296,regex:信息学硕士
16853,entity:school:183,regex:MPH in Clinical Effectiveness
626,entity:school:145,regex:MS in Chemical Engineering and Colloids, Polymers and Surfaces
17926,entity:school:299,regex:工程
10500,entity:school:300,keyword:PhD
11649,entity:school:289,regex:房地产开发硕士
16770,entity:school:250,regex:金融学
12041,entity:school:237,regex:卫生信息系统
22154,entity:school:302,regex:PhD in Energy, Environmental and Chemical Engineering
23736,entity:school:289,regex:PhD in Animal and Avian Sciences
3748,entity:school:371,regex:MA in Pastoral Counseling and Spiritual Care
7261,entity:school:390,regex:公共管理硕士/图书馆学硕士
1722,entity:school:390,keyword:PhD
13197,entity:school:154,regex:社会学博士
15593,entity:school:501,regex:MS in Enterprise Project Management
14408,entity:school:761,regex:工商管理硕士
414,entity:school:291,regex:工业和运筹工程
22462,entity:school:443,regex:环境工程博士
2900,entity:school:299,keyword:MS
16215,entity:school:400,regex:罗马语言文学硕士
24147,entity:school:474,regex:食品科学与技术
17995,entity:school:155,regex:艺术史博士
14496,entity:school:132,regex:PhD in History
23618,entity:school:289,keyword:MEng
1761,entity:school:426,regex:MS in Biomedical Engineering
21117,entity:school:260,keyword:PhD
21764,entity:school:235,keyword:PhD
13037,entity:school:449,regex:土木与环境工程
10916,entity:school:426,regex:MBA
21606,entity:school:230,keyword:MS
8557,entity:school:427,keyword:MA
17711,entity:school:254,regex:计算分析及公共政策
22072,entity:school:379,regex:博物馆学硕士
9816,entity:school:377,regex:社会心理学
13064,entity:school:449,keyword:MS
15541,entity:school:501,regex:化学生物学硕士
22674,entity:school:125,regex:MD/MBA
18909,entity:school:255,regex:流行病学
24218,entity:school:498,regex:遗传学和生物学
21686,entity:school:230,regex:MS in Real Estate Development
6686,entity:school:469,regex:化学博士
15692,entity:school:229,regex:MA in English
7907,entity:school:302,regex:牧师研究
3561,entity:school:305,regex:工作室艺术
1354,entity:school:155,regex:机械工程硕士
22484,entity:school:443,keyword:PhD
19986,entity:school:137,regex:化学
6323,entity:school:413,keyword:JD
4126,entity:school:399,regex:法学/工商管理
12038,entity:school:237,keyword:MS
5471,entity:school:183,keyword:PhD
18592,entity:school:298,regex:语言学
18383,entity:school:173,regex:MPH/MA in Public Health with Bioethics
22065,entity:school:379,regex:人类古生物学博士
13197,entity:school:154,keyword:PhD
16543,entity:school:502,regex:MS in Forest Pathology and Mycology
23975,entity:school:474,regex:城市和区域规划硕士
14200,entity:school:127,regex:哲学
24096,entity:school:241,regex:MS in Materials Engineering
347,entity:school:170,regex:MS in Medical Physics
17149,entity:school:212,keyword:MS
10285,entity:school:238,keyword:MS
10865,entity:school:192,regex:PhD in Nutritional Sciences
18409,entity:school:294,regex:化学博士
15865,entity:school:697,regex:英语
12123,entity:school:237,regex:MPPM 
17633,entity:school:295,regex:PhD in Neuroscience
7131,entity:school:697,regex:电信、信息学和媒体硕士
14000,entity:school:131,regex:社会学
22545,entity:school:125,regex:地理科学
6682,entity:school:469,regex:PhD in Materials Science
7378,entity:school:251,regex:生物与农业工程博士
2713,entity:school:493,keyword:PhD
20697,entity:school:399,regex:MArch  II – 
20962,entity:school:260,keyword:MEng
16344,entity:school:446,regex:MS in Human Development and Family Studies
5545,entity:school:443,regex:通信
15112,entity:school:584,regex:生物技术博士
19107,entity:school:433,regex:本科大一新生应用
16664,entity:school:502,regex:生物过程工程国会议员
17123,entity:school:212,regex:大气、海洋和气候
13800,entity:school:127,keyword:MSc
4347,entity:school:390,keyword:MFA
8488,entity:school:400,regex:社会工作
1437,entity:school:251,regex:石油工程博士
1056,entity:school:761,keyword:PhD
5151,entity:school:466,regex:海洋科学与技术
1737,entity:school:181,regex:信息技术管理博士
7619,entity:school:251,keyword:MS
10843,entity:school:192,regex:农业和生物工程
15050,entity:school:584,regex:中世纪和文艺复兴时期的文学
7780,entity:school:241,regex:战略管理
24434,entity:school:251,regex:野生动物科学
23235,entity:school:497,regex:系统工程学硕士
13364,entity:school:508,keyword:MS
16594,entity:school:502,regex:MPS in Environmental Physiology
7648,entity:school:735,regex:MESM 
17805,entity:school:155,regex:Cornell Financial Engineering Manhattan 
183,entity:school:255,regex:PhD in Strategy and Policy
20374,entity:school:397,regex:环境工程博士
10357,entity:school:761,regex:MS in Construction Management
21963,entity:school:296,regex:经典学
4312,entity:school:390,regex:戏剧史，理论与文学硕士
4751,entity:school:439,keyword:MA
1168,entity:school:254,regex:神经生物学
13736,entity:school:508,keyword:PhD
21107,entity:school:260,keyword:PhD
14527,entity:school:422,regex:食品科学博士
12383,entity:school:547,regex:伊斯兰研究和历史研究
16072,entity:school:507,regex:社区健康和预防
14971,entity:school:584,keyword:MPhil
23507,entity:school:237,regex:MA in Statistics
22061,entity:school:379,regex:咨询学
3412,entity:school:498,regex:PhD in Physiology and Developmental Biology
16947,entity:school:123,regex:生物统计学
21983,entity:school:302,regex:JD 
15298,entity:school:327,regex:MA in Geography
13839,entity:school:128,regex:理学社会学
14993,entity:school:584,keyword:MPhil
8433,entity:school:474,regex:免疫学与食品安全
2310,entity:school:294,regex:材料工程硕士
22985,entity:school:371,regex:历史学
22380,entity:school:434,keyword:PhD
13038,entity:school:449,regex:JD/MPH
23701,entity:school:289,regex:海洋河口环境科学硕士
1983,entity:school:399,regex:会计学博士
9940,entity:school:125,regex:历史学硕士
1808,entity:school:474,keyword:PhD
14815,entity:school:128,regex:生理学博士
14031,entity:school:493,regex:材料工程
10603,entity:school:153,regex:应用人类学博士
13151,entity:school:291,regex:工业卫生硕士
12743,entity:school:390,keyword:PhD
23623,entity:school:498,keyword:MA
20893,entity:school:409,regex:心理学博士
24090,entity:school:241,regex:昆虫学
317,entity:school:241,keyword:MS
17217,entity:school:123,regex:微生物学
21369,entity:school:125,regex:生物统计学
13923,entity:school:131,regex:细胞与系统生物学
9930,entity:school:377,regex:PhD in Civil Engineering
16990,entity:school:153,keyword:MPA
22790,entity:school:379,regex:环境卫生科学与政策
18778,entity:school:255,regex:文化与行为学硕士
18330,entity:school:404,keyword:PhD
2037,entity:school:292,regex:MS in Scientific Computation
17082,entity:school:153,keyword:PhD
19884,entity:school:238,regex:园艺学硕士
21150,entity:school:300,keyword:MA
23993,entity:school:241,regex:经济学硕士
23991,entity:school:241,regex:MS in Computer and Information Technology
6382,entity:school:497,regex:系统工程
17701,entity:school:194,regex:MSE in Bioengineering Innovation and Design
21263,entity:school:256,regex:信息学
16735,entity:school:254,regex:计算机科学专业硕士
9465,entity:school:260,regex:社会学
11170,entity:school:495,keyword:MA
16522,entity:school:502,regex:MS in Biochemistry
21173,entity:school:300,regex:生物技术
2748,entity:school:127,regex:PhD in Bioresource Engineering - Neotropical Environment
18631,entity:school:145,regex:建筑性能与诊断学硕士
18881,entity:school:475,regex:分子医学和翻译科学
24172,entity:school:474,regex:PhD in Geospatial and Environmental Analysis
13601,entity:school:449,keyword:PhD
1223,entity:school:242,regex:经济学博士
3788,entity:school:371,regex:基督教精神硕士
6753,entity:school:333,regex:MS in Applied Psychology
18305,entity:school:404,regex:生物科学硕士
21358,entity:school:125,regex:科学新闻
16969,entity:school:123,regex:母婴健康
19918,entity:school:137,keyword:MS
21162,entity:school:300,regex:统计学硕士
14896,entity:school:584,regex:纯数学硕士
17316,entity:school:301,regex:物理学
24410,entity:school:474,regex:行为学和社区科学博士
914,entity:school:238,regex:气象学硕士
14856,entity:school:128,keyword:MSc
24270,entity:school:241,regex:哲学博士
16938,entity:school:153,keyword:MA
22832,entity:school:379,regex:MS in Exercise Science
21944,entity:school:302,keyword:PhD
18994,entity:school:294,regex:临床和实验治疗学博士
15170,entity:school:584,regex:医学博士
1079,entity:school:761,regex:高能物理
6249,entity:school:413,regex:MA in Communication
21379,entity:school:125,keyword:PhD
13329,entity:school:154,regex:化学和生物工程硕士
15910,entity:school:443,regex:PhD in English
2504,entity:school:427,regex:环境工程科学
21580,entity:school:230,regex:MS in Chemistry
2489,entity:school:466,regex:工业工程和运筹学
18037,entity:school:299,regex:PhD in Excellence in Content Instruction
3399,entity:school:498,regex:土木工程
16412,entity:school:446,regex:MS in Health Services Administration
16172,entity:school:500,regex:公共服务
19062,entity:school:294,regex:MS in Mathematical Finance
21131,entity:school:300,regex:MS in Botany
1610,entity:school:390,regex:化学
2386,entity:school:255,regex:管理和组织的
19252,entity:school:293,keyword:PhD
15113,entity:school:584,regex:盎格鲁撒克逊人，北欧和凯尔特人博士
810,entity:school:298,regex:Master of Computer Science
24062,entity:school:241,regex:生物化学博士
24416,entity:school:474,regex:分子和细胞科学
4791,entity:school:439,regex:化学硕士
23546,entity:school:237,regex:MPH in Infectious Diseases and Microbiology
23743,entity:school:289,regex:土木与环境工程博士
23719,entity:school:289,regex:MS in Systems Engineering
22463,entity:school:443,regex:PhD in Entomology
20588,entity:school:300,regex:金融、投资和银行业
22965,entity:school:379,regex:公共卫生管理
8387,entity:school:400,regex:运动生理学
23289,entity:school:448,regex:传播学博士
17239,entity:school:136,regex:MS in Civil Engineering
18752,entity:school:475,regex:法学
4044,entity:school:332,regex:金融学硕士
8541,entity:school:427,regex:国际关系
18419,entity:school:294,regex:MS in Materials Engineering
15507,entity:school:422,regex:生物医学信息学硕士
14187,entity:school:128,regex:视觉文化
17986,entity:school:155,keyword:PhD
11839,entity:school:153,regex:临床心理学硕士
23738,entity:school:289,regex:动物和鸟类学
20627,entity:school:399,keyword:PhD
11704,entity:school:170,regex:神道学/ 公共政策
9009,entity:school:260,regex:野生动物生态学与保护学
23008,entity:school:371,regex:PhD in Biological Sciences
15845,entity:school:155,regex:Joint MFA in English Language and Literature
5688,entity:school:242,regex:MD/MS in Neurobiology and Anatomy 
11090,entity:school:192,regex:工业工程或系统管理及企业工程硕士
20409,entity:school:496,regex:工业和管理工程
17955,entity:school:155,keyword:PhD
21753,entity:school:230,regex:考古学
16491,entity:school:502,regex:MPS in Environmental Physiology
15460,entity:school:422,regex:PhD in Kinesiology and Applied Physiology
12706,entity:school:291,regex:MA in Chinese Studies
974,entity:school:446,regex:生物医学工程博士
3085,entity:school:128,regex:电气与计算机工程
18132,entity:school:297,regex:法学硕士
20272,entity:school:125,keyword:MA
11713,entity:school:170,keyword:LLM
2458,entity:school:466,keyword:MS
17117,entity:school:212,keyword:MEng
24302,entity:school:241,regex:技术硕士
17145,entity:school:212,keyword:MS
12151,entity:school:237,regex:药学
2134,entity:school:229,regex:公共卫生
18074,entity:school:299,regex:材料科学与工程专业博士
14366,entity:school:127,regex:PhD in Accounting
4019,entity:school:317,regex:Master of Public Policy and Administration
8,entity:school:293,regex:PhD in Physics and Astronomy
12001,entity:school:153,regex:交流科学与障碍学教育
18217,entity:school:297,regex:数学
7607,entity:school:251,keyword:MS
14279,entity:school:493,keyword:MA
20764,entity:school:256,regex:MA in Classics
1596,entity:school:182,keyword:PhD
601,entity:school:292,regex:PhD in Aerospace Engineering and Mechanics
17119,entity:school:123,regex:PhD in Biostatistics
10349,entity:school:761,keyword:MS
14563,entity:school:761,regex:系统工程学
12729,entity:school:299,regex:PhD in Neurobiology and Behavior
17020,entity:school:123,regex:能源和资源
4368,entity:school:399,regex:公共卫生硕士
21105,entity:school:260,keyword:PhD
7749,entity:school:292,regex:Master of Business Taxation
12410,entity:school:547,regex:MSc in Teacher Education
13321,entity:school:761,regex:植物生物学
784,entity:school:298,regex:MA in Chemistry
76,entity:school:293,keyword:MS
21003,entity:school:260,keyword:PhD
11444,entity:school:192,regex:PhD in Philosophy
21532,entity:school:230,keyword:MPA
13833,entity:school:128,regex:PhD in Forest Biology and Management
21349,entity:school:125,regex:MS in Computer Science with a specialization in Cyber Security
13431,entity:school:449,regex:MS in Occupational and Environmental Health/ MS in Urban and Regional Planning
7548,entity:school:251,regex:电气工程博士
11840,entity:school:291,regex:制造学硕士
12402,entity:school:547,regex:哲学神学研究硕士
12608,entity:school:289,regex:PhD in Project Management
22590,entity:school:448,regex:MA in Communication Studies
11508,entity:school:237,regex:数学硕士
23296,entity:school:448,keyword:MS
9819,entity:school:377,regex:宗教
18306,entity:school:404,regex:MS in Biological Sciences
2923,entity:school:297,regex:MS in Cancer Biology
14078,entity:school:131,keyword:JD
11107,entity:school:192,regex:MS in Theoretical and Applied Mechanics
16541,entity:school:502,keyword:PhD
7602,entity:school:251,regex:地质学
2775,entity:school:127,regex:MSc in Mathematics and Statistics 
8975,entity:school:194,regex:MHS in Molecular Microbiology and Immunology
13157,entity:school:154,regex:MA in History
21254,entity:school:256,keyword:PhD
14595,entity:school:761,regex:PhD in Human Development and Family Studies
21719,entity:school:230,regex:MS in Translation
20755,entity:school:300,keyword:PhD
15970,entity:school:446,regex:PhD in Applied Mathematics and Mathematics
1274,entity:school:496,regex:MS in Aeronautical Engineering
2367,entity:school:422,regex:经济学硕士
9824,entity:school:377,keyword:PhD
19166,entity:school:255,keyword:PhD
19272,entity:school:291,regex:化学工程硕士
16272,entity:school:500,regex:JD
1781,entity:school:426,keyword:PhD
2046,entity:school:154,regex:PhD in Marketing
20177,entity:school:261,regex:化学工程
20741,entity:school:480,regex:MS in Speech-Language Pathology
